cat,date,fcst
hw-24,2049-09-01,628.077535071899
hw-24,2049-10-01,628.8517228106377
hw-24,2049-11-01,634.7566890050108
hw-24,2049-12-01,645.2085844556523
hw-24,2050-01-01,640.0654648140044
hw-25,2048-02-01,381.0213268343195
hw-25,2048-03-01,381.19651274079393
hw-25,2048-04-01,381.19651274079393
hw-25,2048-05-01,385.2694543486054
hw-25,2048-06-01,390.13545706514645
hw-25,2048-07-01,391.2501056732713
hw-25,2048-08-01,390.6391140894762
hw-25,2048-09-01,390.05485056409765
hw-25,2048-10-01,389.9754669386486
hw-25,2048-11-01,392.9344598856904
hw-25,2048-12-01,397.3728372263436
hw-25,2049-01-01,400.1056042002219
hw-25,2049-02-01,399.6609256520399
hw-25,2049-03-01,400.1113006409158
hw-25,2049-04-01,400.60250471174464
hw-25,2049-05-01,404.37603644342056
hw-25,2049-06-01,404.1943708265207
hw-25,2049-07-01,404.14694868124803
hw-25,2049-08-01,407.78441053476655
hw-25,2049-09-01,406.1824172399325
hw-25,2049-10-01,407.78441053476655
hw-25,2049-11-01,406.2654881944847
hw-25,2049-12-01,406.2654881944847
hw-25,2050-01-01,405.1631713352021
hw-26,2048-02-01,8.361142990886966
hw-26,2048-03-01,8.361142990886966
hw-26,2048-04-01,8.361142990886966
hw-26,2048-05-01,8.361142990886966
hw-26,2048-06-01,9.8663428157598
hw-26,2048-07-01,9.8663428157598
hw-26,2048-08-01,9.8663428157598
hw-26,2048-09-01,9.8663428157598
hw-26,2048-10-01,9.8663428157598
hw-26,2048-11-01,9.8663428157598
hw-26,2048-12-01,9.8663428157598
hw-26,2049-01-01,5.827193707942219
hw-26,2049-02-01,5.827193707942219
hw-26,2049-03-01,5.827193707942219
hw-26,2049-04-01,5.827193707942219
hw-26,2049-05-01,5.827193707942219
hw-26,2049-06-01,5.827193707942219
hw-26,2049-07-01,5.827193707942219
hw-26,2049-08-01,5.827193707942219
hw-26,2049-09-01,5.5466976968306785
hw-26,2049-10-01,6.120407018877756
hw-26,2049-11-01,6.120407018877756
hw-26,2049-12-01,6.120407018877756
hw-26,2050-01-01,5.018090159595088
hw-27,2048-02-01,9.435298897493224e-20
hw-27,2048-03-01,9.435298897493224e-20
hw-27,2048-04-01,9.435298897493224e-20
hw-27,2048-05-01,9.435298897493224e-20
hw-27,2048-06-01,9.435298897493224e-20
hw-27,2048-07-01,9.435298897493224e-20
hw-27,2048-08-01,9.435298897493224e-20
hw-27,2048-09-01,9.435298897493224e-20
hw-27,2048-10-01,9.435298897493224e-20
hw-27,2048-11-01,9.435298897493224e-20
hw-27,2048-12-01,9.435298897493224e-20
hw-27,2049-01-01,9.435298897493224e-20
hw-27,2049-02-01,9.435298897493224e-20
hw-27,2049-03-01,9.435298897493224e-20
hw-27,2049-04-01,9.435298897493224e-20
hw-27,2049-05-01,9.435298897493224e-20
hw-27,2049-06-01,9.435298897493224e-20
hw-27,2049-07-01,9.435298897493224e-20
hw-27,2049-08-01,9.435298897493224e-20
hw-27,2049-09-01,9.435298897493224e-20
hw-27,2049-10-01,9.435298897493224e-20
hw-27,2049-11-01,9.435298897493224e-20
hw-27,2049-12-01,9.435298897493224e-20
hw-27,2050-01-01,9.435298897493224e-20
hw-28,2048-02-01,27.860603799215244
hw-28,2048-03-01,27.860603799215244
hw-28,2048-04-01,27.860603799215244
hw-28,2048-05-01,27.860603799215244
hw-28,2048-06-01,27.834883937921347
hw-28,2048-07-01,27.834883937921347
hw-28,2048-08-01,26.56433843203198
hw-28,2048-09-01,26.56433843203198
hw-28,2048-10-01,26.56433843203198
hw-28,2048-11-01,26.56433843203198
hw-28,2048-12-01,26.56433843203198
hw-28,2049-01-01,26.56433843203198
hw-28,2049-02-01,26.56433843203198
hw-28,2049-03-01,26.56433843203198
hw-28,2049-04-01,31.62445486953097
hw-28,2049-05-01,31.62445486953097
hw-28,2049-06-01,31.70311664749415
hw-28,2049-07-01,31.70311664749415
hw-28,2049-08-01,31.70311664749415
hw-28,2049-09-01,31.65303521634663
hw-28,2049-10-01,31.653039803763505
hw-28,2049-11-01,31.653039803763505
hw-28,2049-12-01,30.036783919704092
hw-28,2050-01-01,24.428198674878793
hw-29,2048-02-01,3386.122914674371
hw-29,2048-03-01,3386.5341464784105
hw-29,2048-04-01,3385.7302521280417
hw-29,2048-05-01,3385.7302521280417
hw-29,2048-06-01,3386.765974318414
hw-29,2048-07-01,3385.7302521280417
hw-29,2048-08-01,3386.765974318414
hw-29,2048-09-01,3387.7190368303395
hw-29,2048-10-01,3381.2488823324966
hw-29,2048-11-01,3379.009131144122
hw-29,2048-12-01,3382.599534417065
hw-29,2049-01-01,3382.599534417065
hw-29,2049-02-01,3382.549273789946
hw-29,2049-03-01,3381.8899891233877
hw-29,2049-04-01,3379.009131144122
hw-29,2049-05-01,3375.4299581090063
hw-29,2049-06-01,3416.480845409685
hw-29,2049-07-01,3420.4719106754965
hw-29,2049-08-01,3420.4719106754965
hw-29,2049-09-01,3385.334468376292
hw-29,2049-10-01,3386.2034043396284
hw-29,2049-11-01,3409.8787376477926
hw-29,2049-12-01,3370.2537435449535
hw-29,2050-01-01,3359.1658453836285
hw-30,2048-02-01,1945.9299809951335
hw-30,2048-03-01,1950.4829248488709
hw-30,2048-04-01,1993.0252047801907
hw-30,2048-05-01,2023.8479497251612
hw-30,2048-06-01,2023.8479497251612
hw-30,2048-07-01,2036.4653854606706
hw-30,2048-08-01,2044.0092108306324
hw-30,2048-09-01,2046.1956264654577
hw-30,2048-10-01,2042.2946143815313
hw-30,2048-11-01,2050.110111285149
hw-30,2048-12-01,2052.005142520324
hw-30,2049-01-01,2090.861013068454
hw-30,2049-02-01,2046.5465309682393
hw-30,2049-03-01,2048.0735197168615
hw-30,2049-04-01,2045.0974028941544
hw-30,2049-05-01,2086.0090169639716
hw-30,2049-06-01,2093.9102290944134
hw-30,2049-07-01,2096.832785801481
hw-30,2049-08-01,2095.8829880170133
hw-30,2049-09-01,2133.3876863544847
