cat,date,fcst
well-101,2049-04-01,559.26
well-101,2049-05-01,558.94
well-101,2049-06-01,561.42
well-101,2049-07-01,546.8
well-101,2049-08-01,561.95
well-101,2049-09-01,569.92
well-101,2049-10-01,590.44
well-101,2049-11-01,590.55
well-101,2049-12-01,579.95
well-101,2050-01-01,578.56
well-102,2048-02-01,1702.72
well-102,2048-03-01,1710.92
well-102,2048-04-01,1718.97
well-102,2048-05-01,1707.67
well-102,2048-06-01,1708.3
well-102,2048-07-01,1715.63
well-102,2048-08-01,1715.61
well-102,2048-09-01,1723.43
well-102,2048-10-01,1742.67
well-102,2048-11-01,1738.95
well-102,2048-12-01,1742.97
well-102,2049-01-01,1742.97
well-102,2049-02-01,1742.67
well-102,2049-03-01,1741.48
well-102,2049-04-01,1746.0
well-102,2049-05-01,1737.07
well-102,2049-06-01,1787.82
well-102,2049-07-01,1779.4
well-102,2049-08-01,1795.0
well-102,2049-09-01,1775.35
well-102,2049-10-01,1776.56
well-102,2049-11-01,1788.74
well-102,2049-12-01,1790.06
well-102,2050-01-01,1789.08
well-103,2048-02-01,1704.66
well-103,2048-03-01,1704.66
well-103,2048-04-01,1703.61
well-103,2048-05-01,1703.61
well-103,2048-06-01,1703.13
well-103,2048-07-01,1707.59
well-103,2048-08-01,1707.59
well-103,2048-09-01,1707.59
well-103,2048-10-01,1705.96
well-103,2048-11-01,1719.11
well-103,2048-12-01,1724.27
well-103,2049-01-01,1740.43
well-103,2049-02-01,1746.78
well-103,2049-03-01,1751.22
well-103,2049-04-01,1749.03
well-103,2049-05-01,1741.21
well-103,2049-06-01,1746.52
well-103,2049-07-01,1794.87
well-103,2049-08-01,1793.13
well-103,2049-09-01,1792.83
well-103,2049-10-01,1793.79
well-103,2049-11-01,1795.49
well-103,2049-12-01,1795.46
well-103,2050-01-01,1794.77
well-104,2048-02-01,472.98
well-104,2048-03-01,474.99
well-104,2048-04-01,473.78
well-104,2048-05-01,475.51
well-104,2048-06-01,469.16
well-104,2048-07-01,488.78
well-104,2048-08-01,473.18
well-104,2048-09-01,463.9
well-104,2048-10-01,452.08
well-104,2048-11-01,447.61
well-104,2048-12-01,441.24
well-104,2049-01-01,424.44
well-104,2049-02-01,421.06
well-104,2049-03-01,419.58
well-104,2049-04-01,416.72
